to_station_id,to_station_name,,,,,"=RIGHT(A2,FIND(""-"",A2)-2)","=LEFT(A1,FIND(""-"",A1)-1)","=IF(COUNTIF(B1,""occidental""),""Yes"",""No"")"
SLU-01,REI / Yale Ave N & John St,,,,,01,SLU,No
WF-01,Pier 69 / Alaskan Way & Clay St,,,,,1,WF,No
SLU-17,Lake Union Park / Valley St & Boren Ave N,,,,,17,SLU,No
BT-05,2nd Ave & Blanchard St,,,,,5,BT,No
DPD-01,9th Ave N & Mercer St,,,,,01,DPD,No
CBD-03,7th Ave & Union St,,,,,03,CBD,No
WF-01,Pier 69 / Alaskan Way & Clay St,,,,,1,WF,No
CH-15,12th Ave & E Mercer St,,,,,5,CH,No
SLU-07,PATH / 9th Ave & Westlake Ave,,,,,07,SLU,No
CH-12,Bellevue Ave & E Pine St,,,,,2,CH,No
WF-01,Pier 69 / Alaskan Way & Clay St,,,,,1,WF,No
UW-01,UW McCarty Hall / Whitman Ct,,,,,1,UW,No
CBD-05,1st Ave & Marion St,,,,,05,CBD,No
WF-04,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,,,,,4,WF,No
BT-05,2nd Ave & Blanchard St,,,,,5,,No
SLU-04,Republican St & Westlake Ave N,,,,,04,,No
CBD-13,2nd Ave & Pine St,,,,,,,No
UW-10,UW Magnuson Health Sciences Center Rotunda / Columbia Rd & San Juan Rd,,,,,,,No
SLU-07,PATH / 9th Ave & Westlake Ave,,,,,,,No
SLU-17,Lake Union Park / Valley St & Boren Ave N,,,,,,,
WF-01,Pier 69 / Alaskan Way & Clay St,,,,,,,
CH-07,E Pine St & 16th Ave,,,,,,,
CBD-13,2nd Ave & Pine St,,,,,,,
CBD-05,1st Ave & Marion St,,,,,,,
BT-05,2nd Ave & Blanchard St,,,,,,,
UW-04,15th Ave NE & NE 40th St,,,,,,,
PS-04,Occidental Park / Occidental Ave S & S Washington St,,,,,,,
CBD-03,7th Ave & Union St,,,,,,,
CH-06,12th Ave & E Denny Way,,,,,,,
