starttime,from_station_name,sum,,=YEAR(A2),MONTH(A2),"=ROUNDUP(MONTH(A2)/3,0)",HOUR(A2)
10/13/2014 10:31,2nd Ave & Spring St,985.935,,2014,10,4,10
10/13/2014 10:32,2nd Ave & Spring St,926.375,,2014,10,4,10
10/13/2014 10:33,2nd Ave & Spring St,883.831,,2014,10,4,10
10/13/2014 10:34,2nd Ave & Spring St,2598.665,,2014,10,4,10
10/13/2014 11:35,Occidental Park / Occidental Ave S & S Washington St,2362.827,,2014,10,4,11
10/13/2014 11:36,Occidental Park / Occidental Ave S & S Washington St,564.899,,2014,10,4,11
10/13/2014 11:37,Occidental Park / Occidental Ave S & S Washington St,4305.943,,2014,10,4,11
10/13/2014 11:40,Occidental Park / Occidental Ave S & S Washington St,499.734,,2014,10,4,11
10/13/2014 11:41,Occidental Park / Occidental Ave S & S Washington St,1710.877,,2014,10,4,11
10/13/2014 11:42,Occidental Park / Occidental Ave S & S Washington St,437.689,,2014,10,4,11
10/13/2014 11:43,Occidental Park / Occidental Ave S & S Washington St,2897.634,,2014,10,4,11
10/13/2014 11:44,Occidental Park / Occidental Ave S & S Washington St,2537.386,,2014,10,4,11
10/13/2014 11:45,Occidental Park / Occidental Ave S & S Washington St,3776.6,,2014,10,4,11
10/13/2014 11:46,Occidental Park / Occidental Ave S & S Washington St,320.577,,2014,10,4,11
10/13/2014 11:49,City Hall / 4th Ave & James St,1014.444,,2014,10,4,11
10/13/2014 11:49,Occidental Park / Occidental Ave S & S Washington St,3168.058,,2014,10,4,11
10/13/2014 11:51,King Street Station Plaza / 2nd Ave Extension S & S Jackson St,1233.512,,2014,10,4,11
10/13/2014 11:51,Occidental Park / Occidental Ave S & S Washington St,6013.801,,2014,10,4,11
10/13/2014 11:52,1st Ave & Marion St,614.172,,2014,10,4,11
10/13/2014 11:52,King Street Station Plaza / 2nd Ave Extension S & S Jackson St,203.943,,2014,10,4,11
10/13/2014 11:52,Occidental Park / Occidental Ave S & S Washington St,752.147,,2014,10,4,11
10/13/2014 11:54,E Harrison St & Broadway Ave E,2676.788,,2014,10,4,11
10/13/2014 11:55,E Harrison St & Broadway Ave E,2684.59,,2014,10,4,11
10/13/2014 11:57,King Street Station Plaza / 2nd Ave Extension S & S Jackson St,488.523,,2014,10,4,11
10/13/2014 11:58,E Harrison St & Broadway Ave E,2444.973,,2014,10,4,11
10/13/2014 11:59,9th Ave N & Mercer St,1213.319,,2014,10,4,11
10/13/2014 12:02,Burke-Gilman Trail / NE Blakeley St & 24th Ave NE,3352.71,,2014,10,4,12
10/13/2014 12:02,Occidental Park / Occidental Ave S & S Washington St,8737.446,,2014,10,4,12
10/13/2014 12:04,2nd Ave & Spring St,353.58,,2014,10,4,12
10/13/2014 12:04,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,535.867,,2014,10,4,12
10/13/2014 12:05,6th Ave & Blanchard St,3038.91,,2014,10,4,12
10/13/2014 12:05,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,531.244,,2014,10,4,12
10/13/2014 12:08,2nd Ave & Spring St,25119.114,,2014,10,4,12
10/13/2014 12:11,2nd Ave & Spring St,872.985,,2014,10,4,12
10/13/2014 12:11,City Hall / 4th Ave & James St,332.457,,2014,10,4,12
10/13/2014 12:13,2nd Ave & Spring St,415.388,,2014,10,4,12
10/13/2014 12:15,Burke Museum / E Stevens Way NE & Memorial Way NE,2968.106,,2014,10,4,12
10/13/2014 12:17,2nd Ave & Spring St,353.611,,2014,10,4,12
10/13/2014 12:19,Burke-Gilman Trail / NE Blakeley St & 24th Ave NE,132.414,,2014,10,4,12
10/13/2014 12:19,Occidental Park / Occidental Ave S & S Washington St,888.627,,2014,10,4,12
10/13/2014 12:20,1st Ave & Marion St,351.563,,2014,10,4,12
10/13/2014 12:20,City Hall / 4th Ave & James St,690.793,,2014,10,4,12
10/13/2014 12:21,Burke Museum / E Stevens Way NE & Memorial Way NE,653.071,,2014,10,4,12
10/13/2014 12:31,Occidental Park / Occidental Ave S & S Washington St,1593.079,,2014,10,4,12
10/13/2014 12:32,2nd Ave & Spring St,959.503,,2014,10,4,12
10/13/2014 12:32,Occidental Park / Occidental Ave S & S Washington St,1703.84,,2014,10,4,12
10/13/2014 12:35,2nd Ave & Vine St,1407.221,,2014,10,4,12
10/13/2014 12:37,UW Intramural Activities Building,618.777,,2014,10,4,12
10/13/2014 12:39,6th Ave S & S King St,357.776,,2014,10,4,12
10/13/2014 12:39,UW Intramural Activities Building,627.052,,2014,10,4,12
10/13/2014 12:43,King Street Station Plaza / 2nd Ave Extension S & S Jackson St,278.849,,2014,10,4,12
10/13/2014 12:46,9th Ave N & Mercer St,77.656,,2014,10,4,12
10/13/2014 12:48,9th Ave N & Mercer St,590.698,,2014,10,4,12
10/13/2014 12:48,NE 42nd St & University Way NE,179.939,,2014,10,4,12
10/13/2014 12:49,6th Ave & Blanchard St,193.828,,2014,10,4,12
10/13/2014 12:53,1st Ave & Marion St,258.419,,2014,10,4,12
10/13/2014 12:54,12th Ave & NE Campus Pkwy,335.591,,2014,10,4,12
10/13/2014 12:54,NE 42nd St & University Way NE,1254.226,,2014,10,4,12
10/13/2014 12:57,Occidental Park / Occidental Ave S & S Washington St,425.148,,2014,10,4,12
10/13/2014 12:58,2nd Ave & Pine St,1189.182,,2014,10,4,12
10/13/2014 12:59,Frye Art Museum / Terry Ave & Columbia St,1003.336,,2014,10,4,12
