birthyear,(All),,,,,
,,,,,,
,Column Labels,,,,,
,Female,,Male,,Total Total trip time,Total Average trip time
Row Labels,Total trip time,Average trip time,Total trip time,Average trip time,,
BT-01,"86,381",745,"260,245",594,"346,626",626
1-Aug,,,"1,888",629,"1,888",629
2-Aug,,,"3,940",563,"3,940",563
3-Aug,"1,304",652,"4,501",900,"5,806",829
4-Aug,"1,082",541,"7,166",796,"8,247",750
5-Aug,595,595,"5,825",647,"6,421",642
6-Aug,"1,382",691,"4,699",587,"6,081",608
7-Aug,"1,840",613,"4,052",579,"5,892",589
8-Aug,,,"4,484",641,"4,484",641
9-Aug,311,311,831,416,"1,142",381
10-Aug,604,604,"3,592",718,"4,195",699
11-Aug,"1,452",726,"4,341",620,"5,793",644
12-Aug,"1,722",574,"4,318",480,"6,040",503
13-Aug,"3,337",667,"4,963",496,"8,299",553
14-Aug,"1,570",523,"4,033",504,"5,603",509
15-Aug,"2,017",504,"4,547",505,"6,564",505
16-Aug,893,893,"1,574",393,"2,467",493
17-Aug,"1,619",540,"2,969",424,"4,587",459
18-Aug,"1,216",608,"6,939",867,"8,156",816
19-Aug,"2,915",972,"1,867",373,"4,782",598
20-Aug,"1,111",555,"4,541",505,"5,651",514
21-Aug,"5,200",867,"7,683",640,"12,883",716
22-Aug,627,627,"2,372",593,"2,999",600
23-Aug,"1,798",899,"1,067",533,"2,864",716
24-Aug,570,570,"3,870",553,"4,439",555
25-Aug,614,614,"5,374",768,"5,988",748
26-Aug,"2,220",740,"4,700",427,"6,920",494
27-Aug,"1,294",647,"5,084",508,"6,378",531
28-Aug,"1,076",538,"2,356",393,"3,432",429
29-Aug,,,"1,612",537,"1,612",537
30-Aug,634,634,"2,243",748,"2,877",719
31-Aug,532,532,"2,518",504,"3,051",508
1-Sep,456,456,"5,128",855,"5,584",798
2-Sep,"1,430",477,"1,651",413,"3,081",440
3-Sep,579,579,"3,279",547,"3,858",551
4-Sep,"1,328",664,"3,276",546,"4,604",575
5-Sep,,,993,497,993,497
6-Sep,"1,611",805,"1,047",523,"2,657",664
7-Sep,"1,078",539,"2,608",435,"3,686",461
8-Sep,648,648,"5,171",739,"5,819",727
9-Sep,800,800,"4,089",511,"4,889",543
10-Sep,"1,345",672,"3,129",522,"4,474",559
11-Sep,"2,808",702,"6,751",563,"9,559",597
12-Sep,,,"1,500",500,"1,500",500
13-Sep,473,473,"1,661",415,"2,134",427
14-Sep,497,497,"3,531",589,"4,029",576
15-Sep,"1,177",392,"6,302",700,"7,479",623
16-Sep,"1,356",678,"4,921",703,"6,277",697
17-Sep,642,642,"4,488",449,"5,130",466
18-Sep,"12,142","6,071","4,097",512,"16,239","1,624"
19-Sep,,,"1,872",624,"1,872",624
20-Sep,"1,301",650,795,398,"2,096",524
21-Sep,"1,484",495,"5,306",482,"6,790",485
22-Sep,"1,268",634,"4,000","1,000","5,268",878
23-Sep,"4,263","1,066","2,575",644,"6,838",855
24-Sep,"2,505",626,"3,633",454,"6,139",512
25-Sep,548,548,"1,412",353,"1,960",392
26-Sep,,,"1,635",545,"1,635",545
27-Sep,,,383,383,383,383
28-Sep,"1,852",926,"1,851",463,"3,702",617
29-Sep,"1,106",553,"6,018",752,"7,124",712
30-Sep,,,"4,716",786,"4,716",786
1-Oct,"1,331",665,"4,725",591,"6,056",606
2-Oct,798,798,"1,505",502,"2,302",576
3-Oct,,,"7,065","1,413","7,065","1,413"
4-Oct,442,442,,,442,442
5-Oct,601,601,"8,832","1,262","9,433","1,179"
6-Oct,541,541,"4,958",826,"5,499",786
7-Oct,,,"3,216",459,"3,216",459
8-Oct,,,"3,465",433,"3,465",433
9-Oct,441,441,"4,893",544,"5,333",533
10-Oct,,,507,507,507,507
12-Oct,,,"3,313",552,"3,313",552
BT-03,"51,297",693,"304,748",568,"356,045",583
1-Aug,372,372,"4,244",530,"4,616",513
2-Aug,,,"2,410",482,"2,410",482
3-Aug,466,466,"10,279",791,"10,744",767
4-Aug,328,328,"6,852",623,"7,181",598
5-Aug,"3,155","1,052","8,375",761,"11,530",824
6-Aug,650,325,"4,765",476,"5,415",451
